timestamp,ticker,name,percent_gain
2025-06-12 20:26:50,NEM,Newmont Corporation,4.71
2025-06-12 20:26:50,CAH,Cardinal Health Inc,4.61
2025-06-12 20:26:50,SMMT,Summit Therapeutics Inc,4.49
2025-06-12 20:29:51,ORCL,Oracle Corp,13.29
2025-06-12 20:29:51,TAC,TransAlta Corp,9.03
2025-06-12 20:29:51,GENI,Genius Sports Ltd,8.38
2025-06-12 20:29:51,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.26
2025-06-12 20:29:51,AU,Anglogold Ashanti PLC,6.65
2025-06-12 20:29:51,APLD,Applied Digital Corp,6.57
2025-06-12 20:29:51,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:29:51,SEZL,Sezzle Inc,6.30
2025-06-12 20:29:51,CRK,Comstock Resources Inc,6.25
2025-06-12 20:29:51,FN,Fabrinet,5.85
2025-06-12 20:29:51,RARE,Ultragenyx Pharmaceutical Inc,5.83
2025-06-12 20:29:51,ONC,Beigene Ltd,5.66
2025-06-12 20:29:51,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.55
2025-06-12 20:29:51,VEON,VEON Ltd,5.35
2025-06-12 20:29:51,CRDO,Credo Technology Group Holding Ltd,5.21
2025-06-12 20:29:51,ZLAB,Zai Lab Ltd - ADR,4.88
2025-06-12 20:29:51,NVCR,Novocure Ltd,4.78
2025-06-12 20:29:51,NAMS,NewAmsterdam Pharma Company NV,4.78
2025-06-12 20:29:51,NEM,Newmont Corporation,4.71
2025-06-12 20:29:51,CAH,Cardinal Health Inc,4.63
2025-06-12 20:32:53,ORCL,Oracle Corp,13.03
2025-06-12 20:32:53,TAC,TransAlta Corp,8.69
2025-06-12 20:32:53,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.26
2025-06-12 20:32:53,GENI,Genius Sports Ltd,7.61
2025-06-12 20:32:53,AU,Anglogold Ashanti PLC,6.58
2025-06-12 20:32:53,AAPG,Ascentage Pharma Group International American Depository Shares,6.50
2025-06-12 20:32:53,SEZL,Sezzle Inc,6.30
2025-06-12 20:32:53,CRK,Comstock Resources Inc,5.93
2025-06-12 20:32:53,FN,Fabrinet,5.64
2025-06-12 20:32:53,ONC,Beigene Ltd,5.61
2025-06-12 20:32:53,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.56
2025-06-12 20:32:53,RARE,Ultragenyx Pharmaceutical Inc,5.41
2025-06-12 20:32:53,VEON,VEON Ltd,5.35
2025-06-12 20:32:53,CRDO,Credo Technology Group Holding Ltd,5.14
2025-06-12 20:32:53,NVCR,Novocure Ltd,5.01
2025-06-12 20:32:53,ZLAB,Zai Lab Ltd - ADR,4.83
2025-06-12 20:32:53,NAMS,NewAmsterdam Pharma Company NV,4.83
2025-06-12 20:32:53,APLD,Applied Digital Corp,4.75
2025-06-12 20:32:53,NEM,Newmont Corporation,4.70
2025-06-12 20:32:53,CAH,Cardinal Health Inc,4.57
2025-06-12 20:35:56,ORCL,Oracle Corp,13.15
2025-06-12 20:35:56,TAC,TransAlta Corp,9.03
2025-06-12 20:35:56,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,8.15
2025-06-12 20:35:56,GENI,Genius Sports Ltd,7.82
2025-06-12 20:35:56,AAPG,Ascentage Pharma Group International American Depository Shares,6.89
2025-06-12 20:35:56,AU,Anglogold Ashanti PLC,6.50
2025-06-12 20:35:56,SEZL,Sezzle Inc,6.34
2025-06-12 20:35:56,CRK,Comstock Resources Inc,5.91
2025-06-12 20:35:56,FN,Fabrinet,5.81
2025-06-12 20:35:56,ONC,Beigene Ltd,5.61
2025-06-12 20:35:56,RARE,Ultragenyx Pharmaceutical Inc,5.51
2025-06-12 20:35:56,ATAT,Atour Lifestyle Holdings Ltd - ADR,5.39
2025-06-12 20:35:56,VEON,VEON Ltd,5.35
2025-06-12 20:35:56,APLD,Applied Digital Corp,5.27
2025-06-12 20:35:56,CRDO,Credo Technology Group Holding Ltd,5.23
2025-06-12 20:35:56,NVCR,Novocure Ltd,5.10
2025-06-12 20:35:56,ZLAB,Zai Lab Ltd - ADR,5.00
